Nom,URL fiche,Adresse,Téléphone,Site Web,Image,Catégorie,Fichier image
Istanbul,https://www.menton-riviera-merveilles.fr/offres/restaurant-istanbul-menton-fr-3052073/,"7 avenue Cernuschi, 06500 Menton",04 22 16 86 46,,,Cuisine Moyen Orient,images/Istanbul.jpg
La Table Gourmande,https://www.menton-riviera-merveilles.fr/offres/restaurant-la-table-gourmande-la-turbie-fr-3051951/,"13 avenue de la Victoire, 06320 La Turbie",,,,Cuisine asiatique,images/La_Table_Gourmande.jpg
La Margueria   Cave à vins,https://www.menton-riviera-merveilles.fr/offres/restaurant-la-margueria-cave-a-vins-tende-fr-3051679/,"19 avenue 16 septembre 1947, 06430 Tende",07 76 14 90 79,,,Cuisine indienne,images/La_Margueria___Cave_à_vins.jpg
Bamboo Green Kitchen,https://www.menton-riviera-merveilles.fr/offres/restaurant-bamboo-green-kitchen-roquebrune-cap-martin-fr-3701445/,"15 promenade du Cap Martin, 06190 Roquebrune-Cap-Martin",04 93 35 57 73 01,,,Restauration rapide,images/Bamboo_Green_Kitchen.jpg
Coffee Shop Artisanal / Brunch E Si,https://www.menton-riviera-merveilles.fr/offres/coffee-shop-artisanal-brunch-e-si-menton-fr-5288366/,"2 avenue Félix Faure, 06500 Menton",06 37 28 96 06,,,Restauration rapide,images/Coffee_Shop_Artisanal_/_Brunch_E_Si.jpg
Crêperie Au Gaïné,https://www.menton-riviera-merveilles.fr/offres/creperie-au-gaine-sainte-agnes-fr-3457197/,"101 Rue des Sarrasins, 06500 Sainte-Agnès",04 93 35 99 78,,,Crêperie,images/Crêperie_Au_Gaïné.jpg
Casa Fuego,https://www.menton-riviera-merveilles.fr/offres/restaurant-casa-fuego-menton-fr-3051446/,"80 bis boulevard de Garavan, 06500 Menton",,https://www.casafuego.fr/reservation,,Brasserie,images/Casa_Fuego.jpg
Sandwicherie Aquì Si Manja Ben,https://www.menton-riviera-merveilles.fr/offres/sandwicherie-aqui-si-manja-ben-la-turbie-fr-3051616/,"3 rue Combattants Afrique du Nord, 06320 La Turbie",04 93 51 21 26,,,Food truck,images/Sandwicherie_Aquì_Si_Manja_Ben.jpg
La vie est belle,https://www.menton-riviera-merveilles.fr/offres/restaurant-la-vie-est-belle-sospel-fr-3051860/,"13 place Saint-Michel, 06380 Sospel",09 53 45 67 72,,,Cuisine orientale,images/La_vie_est_belle.jpg
Pizzeria Lunica,https://www.menton-riviera-merveilles.fr/offres/pizzeria-lunica-menton-fr-5147520/,"77 avenue de Sospel, 06500 Menton",04 93 92 39 71,,,Cuisine Italienne,images/Pizzeria_Lunica.jpg
ML Lounge,https://www.menton-riviera-merveilles.fr/offres/restaurant-ml-lounge-menton-fr-3051653/,"Terre plein du nouveau port, Port de garavan, 06500 Menton",,https://ml-lounge.eatbu.com/?lang=fr,,Traditionnel,images/ML_Lounge.jpg
Plage Privée Le Fanal,https://www.menton-riviera-merveilles.fr/offres/restaurant-plage-privee-le-fanal-roquebrune-cap-martin-fr-3051945/,"31 Promenade Robert Schumann, 06190 Roquebrune-Cap-Martin",04 93 35 53 80,,,Cuisine Italienne,images/Plage_Privée_Le_Fanal.jpg
La Fabrique,https://www.menton-riviera-merveilles.fr/offres/restaurant-la-fabrique-menton-fr-3051976/,"1292 promenade du Soleil, 06500 Menton",04 93 86 07 10,,,Cuisine indienne,images/La_Fabrique.jpg
Chez Luca   pizza&cucina,https://www.menton-riviera-merveilles.fr/offres/chez-luca-pizzacucina-la-brigue-fr-4197646/,"59, Rue Alberti Bernardin, 06430 La Brigue",,,,Cuisine asiatique,images/Chez_Luca___pizza&cucina.jpg
L'Etape,https://www.menton-riviera-merveilles.fr/offres/restaurant-letape-menton-fr-3051747/,"95 avenue de Sospel, 06500 Menton",04 92 10 19 94,,,Cuisine méditerranéenne,images/L'Etape.jpg
Le Chamois D'Or,https://www.menton-riviera-merveilles.fr/offres/restaurant-le-chamois-dor-tende-fr-3880154/,"Hameau de Castérino, 06430 Tende",+33 6 17 54 38 09,https://www.hotelchamoisdor.net,,Brasserie,images/Le_Chamois_D'Or.jpg
Leone,https://www.menton-riviera-merveilles.fr/offres/restaurant-leone-menton-fr-3051315/,"14 square Victoria, 06500 Menton",,http://www.leonerestaurant.com/,,Cuisine Italienne,images/Leone.jpg
Primo,https://www.menton-riviera-merveilles.fr/offres/restaurant-primo-menton-fr-4970818/,"25 quai Bonaparte, 06500 Menton",04 89 74 73 07,,,Cuisine Italienne,images/Primo.jpg
